message_id,payload,kafka_timestamp,topic,partition,offset,load_date,record_source
e1535fce-04e2-42e9-8f34-aba10d0037f2,"{""order_id"":""O100001"",""tracking_number"":""1Z45819875270935"",""carrier"":""DHL"",""status"":""LABEL_CREATED"",""status_ts"":""2024-02-13T08:52:00Z"",""location"":{""city"":""Louisville"",""region"":""South""},""warehouse_id"":11,""notes"":""Status update: Label Created""}",2024-02-13,retail.order.shipment,1,0,2024-02-01,E2E-order-shipment-event
5d045967-a908-422d-8dec-3e1d445cf7d5,"{""order_id"":""O100001"",""tracking_number"":""1Z45819875270935"",""carrier"":""DHL"",""status"":""PICKED_UP"",""status_ts"":""2024-02-15T11:03:00Z"",""location"":{""city"":""Chicago"",""region"":""East""},""warehouse_id"":11,""notes"":""Status update: Picked Up""}",2024-02-15,retail.order.shipment,1,1,2024-02-01,E2E-order-shipment-event
e4d23983-1c10-4ec4-9738-b8fad47586e2,"{""order_id"":""O100001"",""tracking_number"":""1Z45819875270935"",""carrier"":""DHL"",""status"":""IN_TRANSIT"",""status_ts"":""2024-02-18T14:25:00Z"",""location"":{""city"":""Seattle"",""region"":""East""},""warehouse_id"":11,""notes"":""Status update: In Transit""}",2024-02-18,retail.order.shipment,1,2,2024-02-01,E2E-order-shipment-event
c4469454-9ed2-4637-9572-7f8b1171e6df,"{""order_id"":""O100001"",""tracking_number"":""1Z45819875270935"",""carrier"":""DHL"",""status"":""OUT_FOR_DELIVERY"",""status_ts"":""2024-02-18T17:02:00Z"",""location"":{""city"":""Dallas"",""region"":""North""},""warehouse_id"":11,""notes"":""Status update: Out For Delivery""}",2024-02-18,retail.order.shipment,1,3,2024-02-01,E2E-order-shipment-event
1c6b2a44-d357-46c7-bb5b-2f44a4b473dc,"{""order_id"":""O100001"",""tracking_number"":""1Z45819875270935"",""carrier"":""DHL"",""status"":""DELIVERED"",""status_ts"":""2024-02-17T08:28:00Z"",""location"":{""city"":""Dallas"",""region"":""West""},""warehouse_id"":11,""notes"":""Status update: Delivered""}",2024-02-17,retail.order.shipment,1,4,2024-02-01,E2E-order-shipment-event
bcc9b6fc-faf3-4d5c-a7f5-a6f6790b7d31,"{""order_id"":""O100002"",""tracking_number"":""1Z41626982640239"",""carrier"":""FEDEX"",""status"":""LABEL_CREATED"",""status_ts"":""2024-02-22T08:58:00Z"",""location"":{""city"":""Dallas"",""region"":""East""},""warehouse_id"":20,""notes"":""Status update: Label Created""}",2024-02-22,retail.order.shipment,2,0,2024-02-01,E2E-order-shipment-event
7dd4e767-07be-4300-8c44-65d76a57a522,"{""order_id"":""O100002"",""tracking_number"":""1Z41626982640239"",""carrier"":""FEDEX"",""status"":""PICKED_UP"",""status_ts"":""2024-02-25T11:37:00Z"",""location"":{""city"":""Denver"",""region"":""North""},""warehouse_id"":20,""notes"":""Status update: Picked Up""}",2024-02-25,retail.order.shipment,2,1,2024-02-01,E2E-order-shipment-event
34f88bce-2d35-48a5-a668-6df475103b49,"{""order_id"":""O100002"",""tracking_number"":""1Z41626982640239"",""carrier"":""FEDEX"",""status"":""IN_TRANSIT"",""status_ts"":""2024-02-28T14:50:00Z"",""location"":{""city"":""Denver"",""region"":""West""},""warehouse_id"":20,""notes"":""Status update: In Transit""}",2024-02-28,retail.order.shipment,2,2,2024-02-01,E2E-order-shipment-event
97ac4368-068c-4e38-941d-77e6c5427e99,"{""order_id"":""O100002"",""tracking_number"":""1Z41626982640239"",""carrier"":""FEDEX"",""status"":""OUT_FOR_DELIVERY"",""status_ts"":""2024-02-28T17:42:00Z"",""location"":{""city"":""Memphis"",""region"":""North""},""warehouse_id"":20,""notes"":""Status update: Out For Delivery""}",2024-02-28,retail.order.shipment,2,3,2024-02-01,E2E-order-shipment-event
db29fbfb-1ace-4004-a658-1e6dcd0c5b5b,"{""order_id"":""O100002"",""tracking_number"":""1Z41626982640239"",""carrier"":""FEDEX"",""status"":""DELIVERED"",""status_ts"":""2024-02-28T08:37:00Z"",""location"":{""city"":""Columbus"",""region"":""East""},""warehouse_id"":20,""notes"":""Status update: Delivered""}",2024-02-28,retail.order.shipment,2,4,2024-02-01,E2E-order-shipment-event
43ef7108-7455-46ff-9889-d0ac3ae86558,"{""order_id"":""O100003"",""tracking_number"":""1Z58437413367640"",""carrier"":""DHL"",""status"":""LABEL_CREATED"",""status_ts"":""2024-02-01T08:25:00Z"",""location"":{""city"":""Denver"",""region"":""North""},""warehouse_id"":40,""notes"":""Status update: Label Created""}",2024-02-01,retail.order.shipment,3,0,2024-02-01,E2E-order-shipment-event
0950206c-d6e1-4c02-b224-3d0e17c027c1,"{""order_id"":""O100003"",""tracking_number"":""1Z58437413367640"",""carrier"":""DHL"",""status"":""PICKED_UP"",""status_ts"":""2024-02-02T11:17:00Z"",""location"":{""city"":""Denver"",""region"":""West""},""warehouse_id"":40,""notes"":""Status update: Picked Up""}",2024-02-02,retail.order.shipment,3,1,2024-02-01,E2E-order-shipment-event
fec4022b-b36e-4397-acc9-e86df22455ca,"{""order_id"":""O100007"",""tracking_number"":""1Z55215546742629"",""carrier"":""DHL"",""status"":""LABEL_CREATED"",""status_ts"":""2024-02-16T08:52:00Z"",""location"":{""city"":""Atlanta"",""region"":""West""},""warehouse_id"":77,""notes"":""Status update: Label Created""}",2024-02-16,retail.order.shipment,7,0,2024-02-01,E2E-order-shipment-event
